date;temperature;precipitation;humidity;evaporation;GTK
2022-03-02;-6.475;1.6;71.0;0.578;
2022-03-03;-9.138;0.0;69.5;0.446;
2022-03-04;-6.388;0.0;72.75;0.548;
2022-03-05;-7.25;0.0;75.125;0.455;
2022-03-06;0.525;3.0;75.25;0.936;
2022-03-07;1.75;2.0;77.25;0.945;
2022-03-08;-8.712;2.3;69.75;0.466;
2022-03-09;-13.843;0.0;64.286;0.258;
2022-03-10;-13.938;0.0;61.875;0.271;
2022-03-11;-15.55;0.0;50.375;0.257;
2022-03-12;-13.025;0.0;47.875;0.434;
2022-03-13;-11.938;0.0;47.5;0.52;
2022-03-14;-11.65;0.0;43.125;0.589;
2022-03-15;-10.662;0.0;41.875;0.694;
2022-03-16;-10.275;0.0;50.875;0.618;
2022-03-17;-10.162;0.0;52.0;0.614;
2022-03-18;-8.462;0.0;55.125;0.713;
2022-03-19;-7.862;0.2;72.0;0.477;
2022-03-20;-6.488;0.0;63.375;0.729;
2022-03-21;-7.4;0.0;69.5;0.549;
2022-03-22;-6.075;0.5;70.75;0.608;
2022-03-23;-5.512;0.3;77.875;0.488;
2022-03-24;-3.25;1.9;83.25;0.46;
2022-03-25;-3.838;2.0;78.5;0.559;
2022-03-26;-2.788;0.5;66.125;0.97;
2022-03-27;-5.65;0.0;50.25;1.082;
2022-03-28;-1.212;0.0;42.625;1.885;
2022-03-29;1.162;0.4;79.625;0.81;
2022-03-30;0.55;1.4;77.25;0.862;
2022-03-31;3.438;0.3;68.625;1.473;
2022-04-01;4.375;0.0;63.5;1.89;
2022-04-02;2.612;0.0;71.875;1.287;
2022-04-03;1.288;9.6;86.0;0.58;
2022-04-04;4.062;0.9;82.75;0.874;
2022-04-05;8.812;0.0;55.0;3.087;
2022-04-06;9.788;0.0;55.375;3.24;
2022-04-07;3.725;0.0;60.0;1.98;
2022-04-08;2.975;0.0;64.625;1.661;
2022-04-09;0.738;1.7;70.75;1.163;
2022-04-10;1.2;0.0;51.375;2.003;
2022-04-11;1.4;0.0;33.5;2.781;
2022-04-12;4.488;0.0;34.375;3.424;
2022-04-13;7.275;0.0;35.375;4.039;
2022-04-14;8.8;0.0;25.625;5.098;
2022-04-15;10.888;0.0;24.75;5.815;0.0
2022-04-16;14.575;0.0;23.125;7.224;0.0
2022-04-17;14.938;0.0;29.125;6.783;0.0
2022-04-18;9.975;0.0;43.0;4.184;
2022-04-19;4.462;0.0;35.375;3.366;
2022-04-20;4.238;0.0;53.75;2.372;
2022-04-21;2.938;3.0;85.625;0.673;
2022-04-22;-0.187;0.7;62.125;1.399;
2022-04-23;-1.7;0.1;53.0;1.531;
2022-04-24;-1.712;0.9;65.375;1.127;
2022-04-25;4.25;0.0;52.375;2.445;
2022-04-26;7.775;0.0;40.875;3.811;
2022-04-27;10.95;0.0;31.0;5.351;0.0
2022-04-28;14.438;0.0;29.75;6.556;0.0
2022-04-29;20.5;0.0;26.875;9.083;0.0
2022-04-30;21.262;0.0;22.25;9.984;0.0
2022-05-01;13.188;0.0;48.875;4.329;0.0
